id;text;locale_key;group;link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;type;order;api_permission_codes;parent_id;component_file;redirect
174;编辑数据字典;;false;/settings/dictionary/:entityId/edit;;SELF;;false;true;false;false;false;false;systemDictionaryEdit;;MENU;1;;54;settings/dictionary/dictionary-edit;
175;新建数据字典;;false;/settings/dictionary/new;;SELF;;false;true;false;false;false;false;systemDictionaryNew;;MENU;1;;54;settings/dictionary/dictionary-edit;
176;查看数据字典;;false;/settings/dictionary/:entityId/detail;;SELF;;false;true;false;false;false;false;systemDictionaryDetail;;MENU;1;;54;settings/dictionary/dictionary-detail;
189;行政区划码;;false;/settings/region-code;;SELF;;false;false;false;false;false;false;systemRegionCodeList;;MENU;1;;54;settings/region-code/region-code-list;
190;新建行政区划码;;false;;;SELF;;false;true;false;false;false;false;system:regionCode:new;;BUTTON;1;;189;;
191;编辑行政区划码;;false;;;SELF;;false;true;false;false;false;false;system:regionCode:edit;;BUTTON;1;;189;;
192;查看行政区划码;;false;;;SELF;;false;true;false;false;false;false;system:regionCode:detail;;BUTTON;1;;189;;
193;删除行政区划码;;false;;;SELF;;false;true;false;false;false;false;system:regionCode:delete;;BUTTON;1;;189;;
194;导入行政区划码;;false;;;SELF;;false;true;false;false;false;false;system:regionCode:import;;BUTTON;1;;189;;
195;导出行政区划码;;false;;;SELF;;false;true;false;false;false;false;system:regionCode:export;;BUTTON;1;;189;;
196;打印行政区划码;;false;;;SELF;;false;true;false;false;false;false;system:regionCode:print;;BUTTON;1;;189;;
197;列配置行政区划码;;false;;;SELF;;false;true;false;false;false;false;system:regionCode:customColumn;;BUTTON;1;;189;;
198;编辑行政区划码;;false;/settings/region-code/:entityId/edit;;SELF;;false;true;false;false;false;false;systemRegionCodeEdit;;MENU;1;;54;settings/region-code/region-code-edit;
199;新建行政区划码;;false;/settings/region-code/new;;SELF;;false;true;false;false;false;false;systemRegionCodeNew;;MENU;1;;54;settings/region-code/region-code-edit;
